: physical|物質
女工 工人|worker 妻子 spouse|配偶
女工 工人|worker 家室 spouse|配偶
女工 工人|worker 牽手 spouse|配偶
女工 工人|worker 愛妻 spouse|配偶
女工 工人|worker 嬌妻 spouse|配偶
女工 工人|worker 女人 spouse|配偶
女工 工人|worker 人妻 spouse|配偶
女工 工人|worker 婢女 佣人|servant
女工 工人|worker 女傭 佣人|servant
女工 工人|worker 女僕 佣人|servant
女工 工人|worker 奴婢 佣人|servant
女工 工人|worker 侍女 佣人|servant
女工 工人|worker 女子 human|人
女工 工人|worker 女生 human|人
女工 工人|worker 女色 human|人
女工 工人|worker 女性 human|人
女工 工人|worker 小姐 human|人
女工 工人|worker 查某 human|人
女工 工人|worker 紅粉 human|人
車伕 LandVehicle|車 水手 ship|船
車伕 LandVehicle|車 船夫 ship|船
車伕 LandVehicle|車 船員 ship|船
車伕 LandVehicle|車 船家 ship|船
舵手 船夫|crewman 航海家 專業人士|professional
茶農 茶|tea 花匠 花|flower
茶農 茶|tea 果農 fruit|水果
茶農 茶|tea 花農 FlowerGrass|花草
貧農 農夫|farmer 窮學生 學生|student
貧農 農夫|farmer 貧民 human|人
貧農 農夫|farmer 窮人 human|人
貧農 農夫|farmer 窮光蛋 human|人
富農 農夫|farmer 凱子 男性|man
富農 農夫|farmer 大爺 human|人
富農 農夫|farmer 仕紳 紳士|gentlemen
富農 農夫|farmer 富翁 human|人
富農 農夫|farmer 富豪 human|人
富農 農夫|farmer 鉅富 human|人
富農 農夫|farmer 大亨 human|人
富農 農夫|farmer 巨富 human|人
富農 農夫|farmer 有錢人 human|人
富農 農夫|farmer 財主 human|人
富農 農夫|farmer 富人 human|人
花匠 花|flower 果農 fruit|水果
花匠 花|flower 花農 FlowerGrass|花草
果農 fruit|水果 花農 FlowerGrass|花草
老農 農夫|farmer 老爺爺 男性|man
老農 農夫|farmer 老頭 男性|man
老農 農夫|farmer 老頭子 男性|man
老農 農夫|farmer 老公公 男性|man
老農 農夫|farmer 老太爺 男性|man
老農 農夫|farmer 老先生 男性|man
老農 農夫|farmer 老伯 男性|man
老農 農夫|farmer 老翁 男性|man
老農 農夫|farmer 老爺子 男性|man
老農 農夫|farmer 老年人 human|人
老農 農夫|farmer 老者 human|人
老農 農夫|farmer 老骨頭 human|人
老農 農夫|farmer 老漢 human|人
老農 農夫|farmer 老頭兒 human|人
老農 農夫|farmer 長者 human|人
老農 農夫|farmer 耆老 human|人
老農 農夫|farmer 公 human|人
老農 農夫|farmer 老 human|人
老農 農夫|farmer 銀髮族 human|人
老農 農夫|farmer 老人 human|人
老農 農夫|farmer 老人家 human|人
老農 農夫|farmer 老太太 女性|woman
老農 農夫|farmer 老太婆 女性|woman
老農 農夫|farmer 老婦 女性|woman
老農 農夫|farmer 老婆婆 女性|woman
老農 農夫|farmer 老嫗 女性|woman
老農 農夫|farmer 阿婆 女性|woman
佃農 農夫|farmer 受僱人 屬下|subordinate
佃農 農夫|farmer 雇工 屬下|subordinate
佃農 農夫|farmer 僱員 屬下|subordinate
佃農 農夫|farmer 夥計 屬下|subordinate
勞力 工人|worker 工業港 港口|port
勞力 工人|worker 工學院 大學|university
勞力 工人|worker 高工 專校|VocationalSchool
勞動力 工人|worker 工業港 港口|port
勞動力 工人|worker 工學院 大學|university
勞動力 工人|worker 高工 專校|VocationalSchool
舞女 女性|woman 舞男 男性|man
馬子 女性|woman 意中人 human|人
馬子 女性|woman 愛人 human|人
馬子 女性|woman 愛侶 human|人
馬子 女性|woman 戀人 human|人
馬子 女性|woman 鴛鴦 human|人
馬子 女性|woman 心上人 human|人
馬子 女性|woman 伊人 human|人
馬子 女性|woman 有情人 human|人
馬子 女性|woman 情人 human|人
馬子 女性|woman 甜心 human|人
修女 女性|woman 天主堂 教堂|church
修女 女性|woman 天主教堂 教堂|church
師姐 senior|長輩 師妹 junior|小輩
師姐 女性|woman 師兄 男性|man
名媛 女性|woman 名校 學校|school
名媛 女性|woman 金字 商店|shop
名媛 女性|woman 金字招牌 商店|shop
名媛 女性|woman 名作 書籍|books
名媛 女性|woman 名著 書籍|books
名媛 女性|woman 聞人 human|人
名媛 女性|woman 名人 human|人
名媛 女性|woman 名士 human|人
名媛 女性|woman 名流 human|人
名媛 女性|woman 風雲人物 human|人
阿嬌 美女|BeautifulWoman 女郎 女性|woman
阿嬌 美女|BeautifulWoman 小妮子 女性|woman
阿嬌 美女|BeautifulWoman 少女 女性|woman
阿嬌 美女|BeautifulWoman 姐 女性|woman
阿嬌 美女|BeautifulWoman 少奶奶 婦女|MarriedWomen
阿嬌 美女|BeautifulWoman 少婦 婦女|MarriedWomen
阿嬌 美女|BeautifulWoman 少年犯 犯人|criminals
阿嬌 美女|BeautifulWoman 阿飛 流氓|hoodlum
阿嬌 美女|BeautifulWoman 小老弟 human|人
阿嬌 美女|BeautifulWoman 年輕人 human|人
阿嬌 美女|BeautifulWoman 青少年 human|人
阿嬌 美女|BeautifulWoman 青年 human|人
阿嬌 美女|BeautifulWoman 青年人 human|人
女士 女性|woman 老兄 男性|man
女士 女性|woman 壯丁 男性|man
女士 女性|woman 男丁 男性|man
女士 女性|woman 大爺 男性|man
女士 女性|woman 成蟲 InsectWorm|蟲
女士 女性|woman 成魚 fish|魚
村姑 女性|woman 村婦 婦女|MarriedWomen
村姑 女性|woman 村口 出入口|gateway
女郎 女性|woman 少奶奶 婦女|MarriedWomen
女郎 女性|woman 少婦 婦女|MarriedWomen
女郎 女性|woman 少年犯 犯人|criminals
女郎 女性|woman 阿飛 流氓|hoodlum
女郎 女性|woman 小老弟 human|人
女郎 女性|woman 年輕人 human|人
女郎 女性|woman 青少年 human|人
女郎 女性|woman 青年 human|人
女郎 女性|woman 青年人 human|人
小妮子 女性|woman 少奶奶 婦女|MarriedWomen
小妮子 女性|woman 少婦 婦女|MarriedWomen
小妮子 女性|woman 少年犯 犯人|criminals
小妮子 女性|woman 阿飛 流氓|hoodlum
小妮子 女性|woman 小老弟 human|人
小妮子 女性|woman 年輕人 human|人
小妮子 女性|woman 青少年 human|人
小妮子 女性|woman 青年 human|人
小妮子 女性|woman 青年人 human|人
少女 女性|woman 少奶奶 婦女|MarriedWomen
少女 女性|woman 少婦 婦女|MarriedWomen
少女 女性|woman 少年犯 犯人|criminals
少女 女性|woman 阿飛 流氓|hoodlum
少女 女性|woman 小老弟 human|人
少女 女性|woman 年輕人 human|人
少女 女性|woman 青少年 human|人
少女 女性|woman 青年 human|人
少女 女性|woman 青年人 human|人
姐 女性|woman 少奶奶 婦女|MarriedWomen
姐 女性|woman 少婦 婦女|MarriedWomen
姐 女性|woman 少年犯 犯人|criminals
姐 女性|woman 阿飛 流氓|hoodlum
姐 女性|woman 小老弟 human|人
姐 女性|woman 年輕人 human|人
姐 女性|woman 青少年 human|人
姐 女性|woman 青年 human|人
姐 女性|woman 青年人 human|人
姐 sister|姊妹 胞兄 brother|兄弟
姐 sister|姊妹 哥 brother|兄弟
姐 sister|姊妹 哥哥 brother|兄弟
姐 sister|姊妹 兄 brother|兄弟
姐 sister|姊妹 兄長 brother|兄弟
師妹 女性|woman 師弟 男性|man
歐巴桑 婦女|MarriedWomen 大娘 女性|woman
歐巴桑 婦女|MarriedWomen 大媽 女性|woman
村婦 婦女|MarriedWomen 村口 出入口|gateway
少奶奶 婦女|MarriedWomen 少年犯 犯人|criminals
少奶奶 婦女|MarriedWomen 阿飛 流氓|hoodlum
少奶奶 婦女|MarriedWomen 小老弟 human|人
少奶奶 婦女|MarriedWomen 年輕人 human|人
少奶奶 婦女|MarriedWomen 青少年 human|人
少奶奶 婦女|MarriedWomen 青年 human|人
少奶奶 婦女|MarriedWomen 青年人 human|人
少婦 婦女|MarriedWomen 少年犯 犯人|criminals
少婦 婦女|MarriedWomen 阿飛 流氓|hoodlum
少婦 婦女|MarriedWomen 小老弟 human|人
少婦 婦女|MarriedWomen 年輕人 human|人
少婦 婦女|MarriedWomen 青少年 human|人
少婦 婦女|MarriedWomen 青年 human|人
少婦 婦女|MarriedWomen 青年人 human|人
寡婦 婦女|MarriedWomen 鰥夫 男性|man
貴婦 婦女|MarriedWomen 靈長類 beast|走獸
貴婦 婦女|MarriedWomen 神龍 龍|dragon
貴婦 婦女|MarriedWomen 聖體 body|身
貴婦 婦女|MarriedWomen 學府 學校|school
貴婦 婦女|MarriedWomen 元帥 軍官|officer
貴婦 婦女|MarriedWomen 少將 軍官|officer
貴婦 婦女|MarriedWomen 主帥 軍官|officer
貴婦 婦女|MarriedWomen 主將 軍官|officer
貴婦 婦女|MarriedWomen 名將 軍官|officer
貴婦 婦女|MarriedWomen 帥 軍官|officer
貴婦 婦女|MarriedWomen 副司令 軍官|officer
貴婦 婦女|MarriedWomen 參謀總長 軍官|officer
貴婦 婦女|MarriedWomen 將官 軍官|officer
貴婦 婦女|MarriedWomen 將相 軍官|officer
貴婦 婦女|MarriedWomen 將軍 軍官|officer
貴婦 婦女|MarriedWomen 將領 軍官|officer
貴婦 婦女|MarriedWomen 統帥 軍官|officer
貴婦 婦女|MarriedWomen 上將 軍官|officer
貴婦 婦女|MarriedWomen 大將 軍官|officer
貴婦 婦女|MarriedWomen 中將 軍官|officer
貴婦人 婦女|MarriedWomen 靈長類 beast|走獸
貴婦人 婦女|MarriedWomen 神龍 龍|dragon
貴婦人 婦女|MarriedWomen 聖體 body|身
貴婦人 婦女|MarriedWomen 學府 學校|school
貴婦人 婦女|MarriedWomen 元帥 軍官|officer
貴婦人 婦女|MarriedWomen 少將 軍官|officer
貴婦人 婦女|MarriedWomen 主帥 軍官|officer
貴婦人 婦女|MarriedWomen 主將 軍官|officer
貴婦人 婦女|MarriedWomen 名將 軍官|officer
貴婦人 婦女|MarriedWomen 帥 軍官|officer
貴婦人 婦女|MarriedWomen 副司令 軍官|officer
貴婦人 婦女|MarriedWomen 參謀總長 軍官|officer
貴婦人 婦女|MarriedWomen 將官 軍官|officer
貴婦人 婦女|MarriedWomen 將相 軍官|officer
貴婦人 婦女|MarriedWomen 將軍 軍官|officer
貴婦人 婦女|MarriedWomen 將領 軍官|officer
貴婦人 婦女|MarriedWomen 統帥 軍官|officer
貴婦人 婦女|MarriedWomen 上將 軍官|officer
貴婦人 婦女|MarriedWomen 大將 軍官|officer
貴婦人 婦女|MarriedWomen 中將 軍官|officer
夫人 婦女|MarriedWomen 老奶奶 老婦|OldWoman
夫人 婦女|MarriedWomen 公館 住所|residence
妖精 女性|woman 媚眼 eye|眼
閨女 女性|woman 單身漢 男性|man
閨女 女性|woman 士 男性|man
閨女 女性|woman 光棍 男性|man
閨秀 女性|woman 單身漢 男性|man
閨秀 女性|woman 士 男性|man
閨秀 女性|woman 光棍 男性|man
大陸妹 女孩|girl 中餐 edible|食物
大陸妹 女孩|girl 中國菜 菜餚|dish
大陸妹 女孩|girl 竹蜻蜓 玩具|toy
大陸妹 女孩|girl 扯鈴 玩具|toy
大陸妹 vegetable|蔬菜 生蠔 牡蠣|oyster
老奶奶 老婦|OldWoman 公館 住所|residence
公娼 妓女|prostitute 正版 readings|讀物
私娼 妓女|prostitute 違建 building|建築物
私娼 妓女|prostitute 違章建築 building|建築物
私娼 妓女|prostitute 野雞車 公車|bus
私娼 妓女|prostitute 橫財 wealth|錢財
雛妓 妓女|prostitute 幼獅 獅|lion
雛妓 妓女|prostitute 蝌蚪 青蛙|frog
雛妓 妓女|prostitute 兔寶寶 兔|rabbit
雛妓 妓女|prostitute 羔羊 羊|sheep
雛妓 妓女|prostitute 小馬 馬|horse
雛妓 妓女|prostitute 仔豬 豬|pig
雛妓 妓女|prostitute 幼雛 bird|禽
雛妓 妓女|prostitute 幼蟲 InsectWorm|蟲
雛妓 妓女|prostitute 孑孓 蚊子|mosquito
雛妓 妓女|prostitute 幼魚 fish|魚
雛妓 妓女|prostitute 魚苗 fish|魚
雛妓 妓女|prostitute 栽 plant|植物
雛妓 妓女|prostitute 秧苗 crop|莊稼
雛妓 妓女|prostitute 樹苗 tree|樹
雛妓 妓女|prostitute 花苞 花|flower
雛妓 妓女|prostitute 花蕾 花|flower
雛妓 妓女|prostitute 蓓蕾 花|flower
雛妓 妓女|prostitute 小姑娘 女性|woman
雛妓 妓女|prostitute 妞 女性|woman
雛妓 妓女|prostitute 姑娘 女性|woman
雛妓 妓女|prostitute 黃毛丫頭 女性|woman
雛妓 妓女|prostitute 丫頭 女性|woman
雛妓 妓女|prostitute 女娃 女性|woman
雛妓 妓女|prostitute 女孩 女性|woman
雛妓 妓女|prostitute 女孩子 女性|woman
雛妓 妓女|prostitute 女孩兒 女性|woman
雛妓 妓女|prostitute 女童 女性|woman
雛妓 妓女|prostitute 小妞 女性|woman
雛妓 妓女|prostitute 小妹妹 女性|woman
雛妓 妓女|prostitute 男孩 男性|man
雛妓 妓女|prostitute 男孩子 男性|man
雛妓 妓女|prostitute 男孩兒 男性|man
雛妓 妓女|prostitute 童子 男性|man
雛妓 妓女|prostitute 男童 男性|man
雛妓 妓女|prostitute 幼苗 plant|植物
雛妓 妓女|prostitute 芽 plant|植物
雛妓 妓女|prostitute 青苗 plant|植物
雛妓 妓女|prostitute 新苗 plant|植物
表 human|人 楷模 好人|GoodPerson
表 human|人 榜樣 好人|GoodPerson
表 human|人 模範 好人|GoodPerson
表 tool|用具 度規 implement|器具
表 tool|用具 測量儀 implement|器具
表率 human|人 楷模 好人|GoodPerson
表率 human|人 榜樣 好人|GoodPerson
表率 human|人 模範 好人|GoodPerson
流浪漢 男性|man 遊民 窮人|PoorMan
凱子 男性|man 大爺 human|人
凱子 男性|man 仕紳 紳士|gentlemen
凱子 男性|man 富翁 human|人
凱子 男性|man 富豪 human|人
凱子 男性|man 鉅富 human|人
凱子 男性|man 大亨 human|人
凱子 男性|man 巨富 human|人
凱子 男性|man 有錢人 human|人
凱子 男性|man 財主 human|人
凱子 男性|man 富人 human|人
師弟 junior|小輩 師兄 senior|長輩
懶漢 男性|man 懶人 human|人
俊男 男性|man 名花 花|flower
俊男 男性|man 美目 eye|眼
俊男 男性|man 玉體 body|身
俊男 男性|man 玉手 hand|手
俊男 男性|man 纖手 hand|手
俊男 男性|man 樓閣 塔|tower
俊男 男性|man 瑜 玉石|jade
俊男 男性|man 璧 玉石|jade
俊男 男性|man 璧玉 玉石|jade
俊男 男性|man 瑩 玉石|jade
俊男 男性|man 玉女 女性|woman
俊男 男性|man 紅顏 女性|woman
俊男 男性|man 美人 女性|woman
俊男 男性|man 美女 女性|woman
俊男 男性|man 美嬌娘 女性|woman
俊男 男性|man 嬌娃 女性|woman
俊男 男性|man 花 女性|woman
俊男 男性|man 佳人 女性|woman
俊男 男性|man 佳麗 女性|woman
帥哥 男性|man 名花 花|flower
帥哥 男性|man 美目 eye|眼
帥哥 男性|man 玉體 body|身
帥哥 男性|man 玉手 hand|手
帥哥 男性|man 纖手 hand|手
帥哥 男性|man 樓閣 塔|tower
帥哥 男性|man 瑜 玉石|jade
帥哥 男性|man 璧 玉石|jade
帥哥 男性|man 璧玉 玉石|jade
帥哥 男性|man 瑩 玉石|jade
帥哥 男性|man 玉女 女性|woman
帥哥 男性|man 紅顏 女性|woman
帥哥 男性|man 美人 女性|woman
帥哥 男性|man 美女 女性|woman
帥哥 男性|man 美嬌娘 女性|woman
帥哥 男性|man 嬌娃 女性|woman
帥哥 男性|man 花 女性|woman
帥哥 男性|man 佳人 女性|woman
帥哥 男性|man 佳麗 女性|woman
老兄 男性|man 成蟲 InsectWorm|蟲
老兄 男性|man 成魚 fish|魚
壯丁 男性|man 成蟲 InsectWorm|蟲
壯丁 男性|man 成魚 fish|魚
男丁 男性|man 成蟲 InsectWorm|蟲
男丁 男性|man 成魚 fish|魚
大爺 男性|man 成蟲 InsectWorm|蟲
大爺 男性|man 成魚 fish|魚
大爺 human|人 仕紳 紳士|gentlemen
士 主管|superintendent 戰馬 馬|horse
士 主管|superintendent 軍帽 帽子|headgear
士 主管|superintendent 號角 喇叭|trumpet
士 主管|superintendent 戰鼓 鼓|drum
士 主管|superintendent 戰袍 制服|uniform
士 主管|superintendent 軍服 制服|uniform
士 主管|superintendent 軍裝 制服|uniform
士 主管|superintendent 糧草 edible|食物
士 主管|superintendent 軍校 學校|school
老爺爺 男性|man 老年人 human|人
老爺爺 男性|man 老者 human|人
老爺爺 男性|man 老骨頭 human|人
老爺爺 男性|man 老漢 human|人
老爺爺 男性|man 老頭兒 human|人
老爺爺 男性|man 長者 human|人
老爺爺 男性|man 耆老 human|人
老爺爺 男性|man 公 human|人
老爺爺 男性|man 老 human|人
老爺爺 男性|man 銀髮族 human|人
老爺爺 男性|man 老人 human|人
老爺爺 男性|man 老人家 human|人
老爺爺 男性|man 老太太 女性|woman
老爺爺 男性|man 老太婆 女性|woman
老爺爺 男性|man 老婦 女性|woman
老爺爺 男性|man 老婆婆 女性|woman
老爺爺 男性|man 老嫗 女性|woman
老爺爺 男性|man 阿婆 女性|woman
老頭 男性|man 老年人 human|人
老頭 男性|man 老者 human|人
老頭 男性|man 老骨頭 human|人
老頭 男性|man 老漢 human|人
老頭 男性|man 老頭兒 human|人
老頭 男性|man 長者 human|人
老頭 男性|man 耆老 human|人
老頭 男性|man 公 human|人
老頭 男性|man 老 human|人
老頭 男性|man 銀髮族 human|人
老頭 男性|man 老人 human|人
老頭 男性|man 老人家 human|人
老頭 男性|man 老太太 女性|woman
老頭 男性|man 老太婆 女性|woman
老頭 男性|man 老婦 女性|woman
老頭 男性|man 老婆婆 女性|woman
老頭 男性|man 老嫗 女性|woman
老頭 男性|man 阿婆 女性|woman
老頭子 男性|man 老年人 human|人
老頭子 男性|man 老者 human|人
老頭子 男性|man 老骨頭 human|人
老頭子 男性|man 老漢 human|人
老頭子 男性|man 老頭兒 human|人
老頭子 男性|man 長者 human|人
老頭子 男性|man 耆老 human|人
老頭子 男性|man 公 human|人
老頭子 男性|man 老 human|人
老頭子 男性|man 銀髮族 human|人
老頭子 男性|man 老人 human|人
老頭子 男性|man 老人家 human|人
老頭子 男性|man 老太太 女性|woman
老頭子 男性|man 老太婆 女性|woman
老頭子 男性|man 老婦 女性|woman
老頭子 男性|man 老婆婆 女性|woman
老頭子 男性|man 老嫗 女性|woman
老頭子 男性|man 阿婆 女性|woman
老公公 男性|man 老年人 human|人
老公公 男性|man 老者 human|人
老公公 男性|man 老骨頭 human|人
老公公 男性|man 老漢 human|人
老公公 男性|man 老頭兒 human|人
老公公 男性|man 長者 human|人
老公公 男性|man 耆老 human|人
老公公 男性|man 公 human|人
老公公 男性|man 老 human|人
老公公 男性|man 銀髮族 human|人
老公公 男性|man 老人 human|人
老公公 男性|man 老人家 human|人
老公公 男性|man 老太太 女性|woman
老公公 男性|man 老太婆 女性|woman
老公公 男性|man 老婦 女性|woman
老公公 男性|man 老婆婆 女性|woman
老公公 男性|man 老嫗 女性|woman
老公公 男性|man 阿婆 女性|woman
老太爺 男性|man 老年人 human|人
老太爺 男性|man 老者 human|人
老太爺 男性|man 老骨頭 human|人
老太爺 男性|man 老漢 human|人
老太爺 男性|man 老頭兒 human|人
老太爺 男性|man 長者 human|人
老太爺 男性|man 耆老 human|人
老太爺 男性|man 公 human|人
老太爺 男性|man 老 human|人
老太爺 男性|man 銀髮族 human|人
老太爺 男性|man 老人 human|人
老太爺 男性|man 老人家 human|人
老太爺 男性|man 老太太 女性|woman
老太爺 男性|man 老太婆 女性|woman
老太爺 男性|man 老婦 女性|woman
老太爺 男性|man 老婆婆 女性|woman
老太爺 男性|man 老嫗 女性|woman
老太爺 男性|man 阿婆 女性|woman
老先生 男性|man 老年人 human|人
老先生 男性|man 老者 human|人
老先生 男性|man 老骨頭 human|人
老先生 男性|man 老漢 human|人
老先生 男性|man 老頭兒 human|人
老先生 男性|man 長者 human|人
老先生 男性|man 耆老 human|人
老先生 男性|man 公 human|人
老先生 男性|man 老 human|人
老先生 男性|man 銀髮族 human|人
老先生 男性|man 老人 human|人
老先生 男性|man 老人家 human|人
老先生 男性|man 老太太 女性|woman
老先生 男性|man 老太婆 女性|woman
老先生 男性|man 老婦 女性|woman
老先生 男性|man 老婆婆 女性|woman
老先生 男性|man 老嫗 女性|woman
老先生 男性|man 阿婆 女性|woman
老伯 男性|man 老年人 human|人
老伯 男性|man 老者 human|人
老伯 男性|man 老骨頭 human|人
老伯 男性|man 老漢 human|人
老伯 男性|man 老頭兒 human|人
老伯 男性|man 長者 human|人
老伯 男性|man 耆老 human|人
老伯 男性|man 公 human|人
老伯 男性|man 老 human|人
老伯 男性|man 銀髮族 human|人
老伯 男性|man 老人 human|人
老伯 男性|man 老人家 human|人
老伯 男性|man 老太太 女性|woman
老伯 男性|man 老太婆 女性|woman
老伯 男性|man 老婦 女性|woman
老伯 男性|man 老婆婆 女性|woman
老伯 男性|man 老嫗 女性|woman
老伯 男性|man 阿婆 女性|woman
老翁 男性|man 老年人 human|人
老翁 男性|man 老者 human|人
老翁 男性|man 老骨頭 human|人
老翁 男性|man 老漢 human|人
老翁 男性|man 老頭兒 human|人
老翁 男性|man 長者 human|人
老翁 男性|man 耆老 human|人
老翁 男性|man 公 human|人
老翁 男性|man 老 human|人
老翁 男性|man 銀髮族 human|人
老翁 男性|man 老人 human|人
老翁 男性|man 老人家 human|人
老翁 男性|man 老太太 女性|woman
老翁 男性|man 老太婆 女性|woman
老翁 男性|man 老婦 女性|woman
老翁 男性|man 老婆婆 女性|woman
老翁 男性|man 老嫗 女性|woman
老翁 男性|man 阿婆 女性|woman
老爺子 男性|man 老年人 human|人
老爺子 男性|man 老者 human|人
老爺子 男性|man 老骨頭 human|人
老爺子 男性|man 老漢 human|人
老爺子 男性|man 老頭兒 human|人
老爺子 男性|man 長者 human|人
老爺子 男性|man 耆老 human|人
老爺子 男性|man 公 human|人
老爺子 男性|man 老 human|人
老爺子 男性|man 銀髮族 human|人
老爺子 男性|man 老人 human|人
老爺子 男性|man 老人家 human|人
老爺子 男性|man 老太太 女性|woman
老爺子 男性|man 老太婆 女性|woman
老爺子 男性|man 老婦 女性|woman
老爺子 男性|man 老婆婆 女性|woman
老爺子 男性|man 老嫗 女性|woman
老爺子 男性|man 阿婆 女性|woman
仕紳 紳士|gentlemen 富翁 human|人
仕紳 紳士|gentlemen 富豪 human|人
仕紳 紳士|gentlemen 鉅富 human|人
仕紳 紳士|gentlemen 大亨 human|人
仕紳 紳士|gentlemen 巨富 human|人
仕紳 紳士|gentlemen 有錢人 human|人
仕紳 紳士|gentlemen 財主 human|人
仕紳 紳士|gentlemen 富人 human|人
正人君子 好人|GoodPerson 黑臉 human|人
正人君子 好人|GoodPerson 義士 human|人
黃牛 牛|cattle 金絲猴 猿猴|ape
黃牛 牛|cattle 黃金鼠 鼠|mouse
黃牛 牛|cattle 金魚 觀賞魚|OrnamentalFish
黃牛 牛|cattle 黃魚 fish|魚
黃牛 牛|cattle 黃豆 豆子|beans
黃牛 牛|cattle 金髮 頭髮|HeadHair
黃牛 牛|cattle 黃土 土壤|soil
黃牛 牛|cattle 金沙 沙|sand
黃牛 牛|cattle 黃沙 沙|sand
黃牛 牛|cattle 金車 LandVehicle|車
黃牛 牛|cattle 南瓜 vegetable|蔬菜
黃牛 牛|cattle 芒果 fruit|水果
要犯 犯人|criminals 正門 門|door
要犯 犯人|criminals 大關 出入口|gateway
要犯 犯人|criminals 棟樑 human|人
要犯 犯人|criminals 要件 document|文書
要犯 犯人|criminals 要員 human|人
要犯 犯人|criminals 人士 human|人
要犯 犯人|criminals 顯要 human|人
要犯 犯人|criminals 靈魂人物 human|人
要犯 犯人|criminals 支柱 human|人
要犯 犯人|criminals 人仕 human|人
要犯 犯人|criminals 大人物 human|人
要犯 犯人|criminals 中流砥柱 human|人
要犯 犯人|criminals 中堅 human|人
要犯 犯人|criminals 要人 human|人
少年犯 犯人|criminals 阿飛 流氓|hoodlum
少年犯 犯人|criminals 小老弟 human|人
少年犯 犯人|criminals 年輕人 human|人
少年犯 犯人|criminals 青少年 human|人
少年犯 犯人|criminals 青年 human|人
少年犯 犯人|criminals 青年人 human|人
主嫌 嫌犯|suspect 大動脈 動脈|artery
主嫌 嫌犯|suspect 主峰 山峰|MountainPeak
主嫌 嫌犯|suspect 本島 島|island
主嫌 嫌犯|suspect 大菜 菜餚|dish
主嫌 嫌犯|suspect 主菜 菜餚|dish
主嫌 嫌犯|suspect 代表作 作品|works
主嫌 嫌犯|suspect 大門 門|door
主嫌 嫌犯|suspect 中心線 公路|highway
主嫌 嫌犯|suspect 幹道 公路|highway
主嫌 嫌犯|suspect 幹線 公路|highway
主嫌 嫌犯|suspect 主線 route|道路
主嫌 嫌犯|suspect 總廠 工廠|factory
主嫌 嫌犯|suspect 總店 商店|shop
主嫌 嫌犯|suspect 總機 電話|telephone
主嫌 嫌犯|suspect 主食 food|食品
主嫌 嫌犯|suspect 大街 route|道路
主嫌 嫌犯|suspect 大道 route|道路
主嫌 嫌犯|suspect 孔道 route|道路
主嫌 嫌犯|suspect 要道 route|道路
海盜 強盜|robber 海蛇 蛇|snake
海盜 強盜|robber 海龜 龜|turtle
海盜 強盜|robber 海魚 fish|魚
海盜 強盜|robber 海螺 螺|SpiralShell
海盜 強盜|robber 海島 島|island
海盜 強盜|robber 海流 水流|WaterFlow
海盜 強盜|robber 海堤 堤防|embankment
海盜 強盜|robber 海路 水路|waterway
海盜 強盜|robber 海輪 輪船|steamer
海盜 強盜|robber 海鳥 bird|禽
海盜 強盜|robber 海鷗 bird|禽
海盜 強盜|robber 海藻 藻類|algae
海盜 強盜|robber 礁 岩石|rock
海盜 強盜|robber 礁石 岩石|rock
阿飛 流氓|hoodlum 小老弟 human|人
阿飛 流氓|hoodlum 年輕人 human|人
阿飛 流氓|hoodlum 青少年 human|人
阿飛 流氓|hoodlum 青年 human|人
阿飛 流氓|hoodlum 青年人 human|人
神棍 騙子|swindler 聖像 雕塑|sculpture
神棍 騙子|swindler 齋 素食|VegetarianDish
神棍 騙子|swindler 法器 implement|器具
神棍 騙子|swindler 神鐘 MusicTool|樂器
神棍 騙子|swindler 磬 MusicTool|樂器
神棍 騙子|swindler 符 tool|用具
神棍 騙子|swindler 寺 facilities|設施
神棍 騙子|swindler 寺院 facilities|設施
神棍 騙子|swindler 寺廟 facilities|設施
神棍 騙子|swindler 城隍廟 facilities|設施
神棍 騙子|swindler 修道院 facilities|設施
神棍 騙子|swindler 神廟 facilities|設施
神棍 騙子|swindler 僧院 facilities|設施
神棍 騙子|swindler 廟 facilities|設施
神棍 騙子|swindler 廟方 facilities|設施
神棍 騙子|swindler 廟宇 facilities|設施
心肝 human|人 偶像 名人|celebrity
心肝寶貝 human|人 偶像 名人|celebrity
紅人 human|人 偶像 名人|celebrity
大砲 炸彈|bomb 左輪手槍 子彈|bullet
大砲 炸彈|bomb 步槍 子彈|bullet
大砲 炸彈|bomb 槍 子彈|bullet
大砲 炸彈|bomb 槍枝 子彈|bullet
大砲 炸彈|bomb 衝鋒槍 子彈|bullet
大砲 炸彈|bomb 機槍 子彈|bullet
大砲 炸彈|bomb 鎗 子彈|bullet
大砲 炸彈|bomb 手槍 子彈|bullet
學童 小學|PrimarySchool 大專生 大學|university
學童 小學|PrimarySchool 大學生 大學|university
學童 小學|PrimarySchool 中學生 中學|MiddleSchool
學童 小學|PrimarySchool 高中生 中學|MiddleSchool
學童 小學|PrimarySchool 國中生 中學|MiddleSchool
小學生 小學|PrimarySchool 大專生 大學|university
小學生 小學|PrimarySchool 大學生 大學|university
小學生 小學|PrimarySchool 中學生 中學|MiddleSchool
小學生 小學|PrimarySchool 高中生 中學|MiddleSchool
小學生 小學|PrimarySchool 國中生 中學|MiddleSchool
夜校生 學生|student 晚風 wind|風
夜校生 學生|student 暮靄 霧|fog
夜校生 學生|student 夜校 學校|school
夜校生 學生|student 夜間部 學校|school
